top,bot,topf,botf,height,n_chars,line_path,text
True,True,0.4727822580645161,0.3800403225806452,54,10,diksita1895__00c__line_1518610818277_1.png,जीवनचरित्र
True,False,0.3741258741258741,0.0,69,6,diksita1895__00c__r3l12.png,जिसमें
True,True,0.6059678653404744,0.03442999234889059,73,32,diksita1895__00c__r3l15.png,श्रीमान् भार्गवकुलकमलप्रकाशक मा-
True,True,0.20979591836734693,0.03183673469387755,62,29,diksita1895__00c__r3l20.png,"र्तण्ड मुंशी नवलकिशोर जी (सी,"
True,False,0.23132313231323132,0.0153015301530153,62,27,diksita1895__00c__r3l24.png,"आई, ई) का विमलचरित्र जन्ममे"
True,False,0.3110236220472441,0.010498687664041995,58,26,diksita1895__00c__r3l30.png,लेकर मरणपर्यन्त वर्णितहै ॥
True,False,0.5092592592592593,0.0,61,5,diksita1895__00c__r3l34.png,जिसको
True,True,0.21958925750394945,0.04660347551342812,59,34,diksita1895__00c__line_1518610839603_2.png,उन्नाम प्रदेशान्तर्गत मसवासी ग्राम
True,True,0.21560035056967572,0.11305872042068361,77,30,diksita1895__00c__line_1518610859368_3.png,निवासी पण्डित बन्दीदीन दीक्षित
True,False,0.386013986013986,0.0,66,24,diksita1895__00c__r3l48.png,ने उत्तम ललित छन्दों में
True,False,0.2532347504621072,0.0036968576709796672,60,14,diksita1895__00c__r3l51.png,निर्मित किया ॥
True,False,0.6888472352389878,0.023430178069353328,63,35,diksita1895__00c__r3l58.png,श्रीबाबू प्रयागनारायण की आज्ञानुसार
True,False,0.3826291079812207,0.0,67,9,diksita1895__00c__r3l62.png,प्रथम बार
True,True,0.2909090909090909,0.3090909090909091,54,1,diksita1895__00c__line_1518610885849_5.png,3
True,True,0.44642857142857145,0.21565934065934067,70,4,diksita1895__00c__line_1518610883333_4.png,लखनऊ
True,False,0.28818244644091223,0.025570145127850726,66,45,diksita1895__00c__r3l74.png,"मुंशी नवलकिशोर (सी, आई, ई) के छापेखानेमें छपा"
False,False,0.004497751124437781,0.0,79,16,diksita1895__00c__r3l76.png,मई सन् १८९४ ई० ॥
True,True,0.700228832951945,0.4874141876430206,58,15,diksita1895__01__line_1518611095647_6.png,श्री गणेशाय नमः
True,False,0.30105017502917153,0.022753792298716453,116,26,diksita1895__01__r3l5.png,श्रीमान् मुंशीनवलकिशोरजीको
True,False,0.3132434575733545,0.004758128469468675,125,22,diksita1895__01__r3l6.png,जीवनचरित्र प्रारम्भ: ॥
False,False,0.0,0.0,125,10,diksita1895__01__r3l7.png,षट्पदछंद ॥
True,False,0.03211859172328598,0.0,112,28,diksita1895__01__r3l8.png,लंबोदर गजबदन कदन घन विघन पगा
False,False,0.010688836104513063,0.0,109,32,diksita1895__01__r3l9.png,न । अशरन शरन कृपाल विकट संकट हठि
True,False,0.1783402001177163,0.015303119482048263,107,32,diksita1895__01__r3l10.png,रन ॥ सुर सरदार उदार दार चारहु फल
True,True,0.1257378984651712,0.031877213695395513,106,33,diksita1895__01__r3l11.png,को । यश अपार शुचिसार वेद विस्तारत
False,True,0.02333931777378815,0.036505086774386596,111,33,diksita1895__01__r3l12.png,को ॥ ध्याय ताहि लवलाय पग चाहि दया
True,False,0.10307982401005657,0.01508485229415462,103,34,diksita1895__01__r3l13.png,कोरको । बरणहुं जीवन चरित कछु श्रीम
True,False,0.2807625649913345,0.0,116,10,diksita1895__01__r3l14.png,लकिशोरको ॥
True,False,0.6902173913043478,0.0,105,7,diksita1895__01__r3l15.png,सोरठा ॥
True,False,0.10579345088161209,0.0,122,35,diksita1895__01__r3l16.png,ऋषिते उत्पत्ति ज्यहिकुलकीभइजगतमहँ ।
True,False,0.27256637168141595,0.0,105,12,diksita1895__02__r3l1.png,जीवनचरित्र ।
True,True,0.1568627450980392,0.27450980392156865,54,1,diksita1895__02__line_1518611272846_13.png,२
True,False,0.12171428571428572,0.0,117,40,diksita1895__02__r3l2.png,भार्गवकुलस्वइसत्ति विदित भयोअतिबृद्धिलहि
True,False,0.43197278911564624,0.0,81,6,diksita1895__02__r3l3.png,दाहा ॥
True,True,0.7984588026081803,0.046235921754593956,95,38,diksita1895__02__r3l4.png,जनमें त्यहिकुल धवलमहँ श्रीयमुनापरसाद ।
True,False,0.6301204819277109,0.0,104,33,diksita1895__02__line_1518611253183_12.png,जिनको यशवर्णनकरत भरत हृदय अहलाद ॥
True,False,0.2738336713995943,0.0,91,9,diksita1895__02__r3l9.png,सरसीछंद ॥
True,True,0.7420362273579013,0.04559650218613367,85,35,diksita1895__02__r3l10.png,पश्चिम देश प्रदेश बेश शुभ जासु अली-
False,False,0.026903262736119062,0.010875787063537493,115,38,diksita1895__02__line_1518611241198_11.png,गढ़ नाम । त्यहि अन्तर्ग्गत बसत लसत इक-
False,False,0.029344073647871116,0.0,109,42,diksita1895__02__line_1518611236236_10.png,सुभग सासनी ग्राम ॥ बृन्द भार्ग्गव बहुनि ब-
