line_path,page_id,text,width,height,n_chars
dudhadasa1900__15__line_1518449669050_535.png,dudhadasa1900__15,लखि विषम बन भारी भयंकर जानकी विस्मित भंई ॥,1371,100,42
dudhadasa1900__15__line_1518449727770_551.png,dudhadasa1900__15,बालमीकि मुनि गन्त बिचारी । शुभ नक्षत्र लखिभये सुखारी ॥,1550,99,54
dudhadasa1900__16__line_1518449900941_566.png,dudhadasa1900__16,जबतेप्रभु सिय विपिन निकारी । तबतेनिशिदिनरहतदुखारी ॥,1502,84,51
giridharadasa1902__05__r2l29.png,giridharadasa1902__05,तियकमलाशैलकुमारि ४७ ॥ द्विविधरूपकलक्षण ॥ बिष,1316,171,44
hajarilala1919__10__r2l3.png,hajarilala1919__10,"गिरिपर चढ़ि गिरि मरौं धरनी पै बरु,",1572,153,34
nivajakavi1895__02__r2l22.png,nivajakavi1895__02,मैं न मैनका कहाऊं सो १२ ॥,1249,139,25
nivajakavi1895__03__r2l25.png,nivajakavi1895__03,पियायो न एक घरी । यह जानि कें मानस की जन्मी,2148,135,43
nivajakavi1895__06__r3l9.png,nivajakavi1895__06,एकसमयदुष्यन्तनृप खेलनकढ़योशिकार३१॥,1840,146,34
paramananda1924__08__r1l24.png,paramananda1924__08,जो द्विज प्रातःकाल की संध्या नहीं करता और सायंकाल की,1846,159,52
pyarelala1914__01__r2l5.png,pyarelala1914__01,अथ रागबिनोद ।।,845,213,14
simha1914__000_3__line_1517477091274_5.png,simha1914__000_3,२५,104,90,2
simha1914__09__r2l15.png,simha1914__09,"आलस्य मत करो, कल करने को सो आज करो",1737,146,34
sivaramasukla1900__04__r1l32.png,sivaramasukla1900__04,अर्थात् रथ छकड़ा आदि में महल के ऊपर गचपर चटाई पर,1204,75,48
sivaramasukla1900__08__r2l1.png,sivaramasukla1900__08,शिवरत्नसंग्रह ।,293,83,15
sriramastavarajah1898__01__line_1517234057187_175.png,sriramastavarajah1898__01,वेदव्यास उवाच ।। धर्म्मराज महाभाग,1526,124,33
sriramastavarajah1898__04__r2l16.png,sriramastavarajah1898__04,परात्परं राममहं भजामि ।। २६ ।। कविं षु-,1434,133,39
sriramastavarajah1898__08__r2l7.png,sriramastavarajah1898__08,संसारविध्वंसाय स्फुरदोजसे रघुकुलोत्तंसा-,1390,92,40
trisuli1890__04__r1l7.png,trisuli1890__04,औ पुराणनको सरबससारहै । लीलाही करिकै जिन,2702,174,39
trisuli1890__07__r1l41.png,trisuli1890__07,फैल्यो दोष जानिये १४ नैननतैं अंध और पावनतैं,2646,174,43
vyasa1906__09__line_1516804627354_85.png,vyasa1906__09,विभावरीश्रेष्ठा बभूवतनुमध्यमा ५७ तस्या,2028,90,38
