line_path,page_id,source_id,line_id,text,width,height,n_chars
diksita1895__00c__line_1518610818277_1.png,diksita1895__00c,diksita1895,line_1518610818277_1,जीवनचरित्र,992,90,10
diksita1895__00c__r3l12.png,diksita1895__00c,diksita1895,r3l12,जिसमें,286,117,6
diksita1895__00c__r3l15.png,diksita1895__00c,diksita1895,r3l15,श्रीमान् भार्गवकुलकमलप्रकाशक मा-,1307,124,32
diksita1895__00c__r3l20.png,diksita1895__00c,diksita1895,r3l20,"र्तण्ड मुंशी नवलकिशोर जी (सी,",1225,101,29
diksita1895__00c__r3l24.png,diksita1895__00c,diksita1895,r3l24,"आई, ई) का विमलचरित्र जन्ममे",1111,104,27
diksita1895__00c__r3l30.png,diksita1895__00c,diksita1895,r3l30,लेकर मरणपर्यन्त वर्णितहै ॥,762,98,26
diksita1895__00c__r3l34.png,diksita1895__00c,diksita1895,r3l34,जिसको,324,102,5
diksita1895__00c__line_1518610839603_2.png,diksita1895__00c,diksita1895,line_1518610839603_2,उन्नाम प्रदेशान्तर्गत मसवासी ग्राम,1266,99,34
diksita1895__00c__line_1518610859368_3.png,diksita1895__00c,diksita1895,line_1518610859368_3,निवासी पण्डित बन्दीदीन दीक्षित,1141,115,30
diksita1895__00c__r3l48.png,diksita1895__00c,diksita1895,r3l48,ने उत्तम ललित छन्दों में,715,111,24
diksita1895__00c__r3l51.png,diksita1895__00c,diksita1895,r3l51,निर्मित किया ॥,541,101,14
diksita1895__00c__r3l58.png,diksita1895__00c,diksita1895,r3l58,श्रीबाबू प्रयागनारायण की आज्ञानुसार,1067,106,35
diksita1895__00c__r3l62.png,diksita1895__00c,diksita1895,r3l62,प्रथम बार,426,114,9
diksita1895__00c__line_1518610885849_5.png,diksita1895__00c,diksita1895,line_1518610885849_5,3,55,90,1
diksita1895__00c__line_1518610883333_4.png,diksita1895__00c,diksita1895,line_1518610883333_4,लखनऊ,728,118,4
diksita1895__00c__r3l74.png,diksita1895__00c,diksita1895,r3l74,"मुंशी नवलकिशोर (सी, आई, ई) के छापेखानेमें छपा",1447,112,45
diksita1895__00c__r3l76.png,diksita1895__00c,diksita1895,r3l76,मई सन् १८९४ ई० ॥,667,121,16
diksita1895__01__line_1518611095647_6.png,diksita1895__01,diksita1895,line_1518611095647_6,श्री गणेशाय नमः,437,98,15
diksita1895__01__r3l5.png,diksita1895__01,diksita1895,r3l5,श्रीमान् मुंशीनवलकिशोरजीको,1714,202,26
diksita1895__01__r3l6.png,diksita1895__01,diksita1895,r3l6,जीवनचरित्र प्रारम्भ: ॥,1261,196,22
diksita1895__01__r3l7.png,diksita1895__01,diksita1895,r3l7,षट्पदछंद ॥,532,218,10
diksita1895__01__r3l8.png,diksita1895__01,diksita1895,r3l8,लंबोदर गजबदन कदन घन विघन पगा,1619,172,28
diksita1895__01__r3l9.png,diksita1895__01,diksita1895,r3l9,न । अशरन शरन कृपाल विकट संकट हठि,1684,144,32
diksita1895__01__r3l10.png,diksita1895__01,diksita1895,r3l10,रन ॥ सुर सरदार उदार दार चारहु फल,1699,140,32
diksita1895__01__r3l11.png,diksita1895__01,diksita1895,r3l11,को । यश अपार शुचिसार वेद विस्तारत,1694,137,33
diksita1895__01__r3l12.png,diksita1895__01,diksita1895,r3l12,को ॥ ध्याय ताहि लवलाय पग चाहि दया,1671,142,33
diksita1895__01__r3l13.png,diksita1895__01,diksita1895,r3l13,कोरको । बरणहुं जीवन चरित कछु श्रीम,1591,137,34
diksita1895__01__r3l14.png,diksita1895__01,diksita1895,r3l14,लकिशोरको ॥,577,161,10
diksita1895__01__r3l15.png,diksita1895__01,diksita1895,r3l15,सोरठा ॥,368,172,7
diksita1895__01__r3l16.png,diksita1895__01,diksita1895,r3l16,ऋषिते उत्पत्ति ज्यहिकुलकीभइजगतमहँ ।,1588,164,35
diksita1895__02__r3l1.png,diksita1895__02,diksita1895,r3l1,जीवनचरित्र ।,565,182,12
diksita1895__02__line_1518611272846_13.png,diksita1895__02,diksita1895,line_1518611272846_13,२,51,90,1
diksita1895__02__r3l2.png,diksita1895__02,diksita1895,r3l2,भार्गवकुलस्वइसत्ति विदित भयोअतिबृद्धिलहि,1750,178,40
diksita1895__02__r3l3.png,diksita1895__02,diksita1895,r3l3,दाहा ॥,294,138,6
diksita1895__02__r3l4.png,diksita1895__02,diksita1895,r3l4,जनमें त्यहिकुल धवलमहँ श्रीयमुनापरसाद ।,1687,141,38
diksita1895__02__line_1518611253183_12.png,diksita1895__02,diksita1895,line_1518611253183_12,जिनको यशवर्णनकरत भरत हृदय अहलाद ॥,1660,145,33
diksita1895__02__r3l9.png,diksita1895__02,diksita1895,r3l9,सरसीछंद ॥,493,149,9
diksita1895__02__r3l10.png,diksita1895__02,diksita1895,r3l10,पश्चिम देश प्रदेश बेश शुभ जासु अली-,1601,139,35
diksita1895__02__line_1518611241198_11.png,diksita1895__02,diksita1895,line_1518611241198_11,गढ़ नाम । त्यहि अन्तर्ग्गत बसत लसत इक-,1747,146,38
diksita1895__02__line_1518611236236_10.png,diksita1895__02,diksita1895,line_1518611236236_10,सुभग सासनी ग्राम ॥ बृन्द भार्ग्गव बहुनि ब-,1738,145,42
diksita1895__02__r3l15.png,diksita1895__02,diksita1895,r3l15,सत तहँ अति अनन्द दरशाय । औरहु इतर,1744,136,33
diksita1895__02__line_1518611226375_9.png,diksita1895__02,diksita1895,line_1518611226375_9,वर्ण राजत तहँ धनिक बनिक बरभाय ॥,1546,152,31
diksita1895__02__r3l20.png,diksita1895__02,diksita1895,r3l20,दोहा ॥,316,94,6
diksita1895__02__r3l21.png,diksita1895__02,diksita1895,r3l21,श्री यमुना परसाद के पितृ पितामह आदि ।,1712,121,37
diksita1895__02__line_1518611209604_7.png,diksita1895__02,diksita1895,line_1518611209604_7,बसेप्रथमत्यहि ग्राममहँ सुखसह रहित उपाधि ॥,1789,126,41
diksita1895__02__line_1518611217534_8.png,diksita1895__02,diksita1895,line_1518611217534_8,ककुभाछन्द ॥,595,104,11
diksita1895__02__r3l30.png,diksita1895__02,diksita1895,r3l30,करी बहुत एकत्र रियासत महि ग्राम(...)दि,1652,108,38
diksita1895__02__r3l31.png,diksita1895__02,diksita1895,r3l31,इलाका । धाम ललाम रचे विरचे बाँ(...)ध्यो,1625,134,39
diksita1895__02__r3l33.png,diksita1895__02,diksita1895,r3l33,सुयश पताका ॥ करि बहुकाल विशाल भोग,1649,136,33
diksita1895__02__r3l35.png,diksita1895__02,diksita1895,r3l35,सुख अन्त गये सुर धामहिं । उज्ज्वल कीर(...)ति,1652,140,44
diksita1895__02__r3l36.png,diksita1895__02,diksita1895,r3l36,ते प्रगट्यो बहु जगत माहिं निज नामहिं ॥,1541,139,38
dudhadasa1900__01__line_1518443504242_245.png,dudhadasa1900__01,dudhadasa1900,line_1518443504242_245,रामाश्वमेध भाषा ॥,740,99,17
dudhadasa1900__01__line_1518443500302_244.png,dudhadasa1900__01,dudhadasa1900,line_1518443500302_244,186,120,101,3
dudhadasa1900__01__line_1518443498082_243.png,dudhadasa1900__01,dudhadasa1900,line_1518443498082_243,जिसमें,182,95,6
dudhadasa1900__01__line_1518443484577_242.png,dudhadasa1900__01,dudhadasa1900,line_1518443484577_242,जीकी आज्ञानुसार बाल्मीक्याश्रम समीप जानकी,1054,79,41
dudhadasa1900__01__line_1518443479612_241.png,dudhadasa1900__01,dudhadasa1900,line_1518443479612_241,का परित्याग व बाल्मीक्याश्रममें जानकी निवास व लवकुशो-,1296,72,53
dudhadasa1900__01__line_1518443469633_240.png,dudhadasa1900__01,dudhadasa1900,line_1518443469633_240,मचन्द्रजी कृत अश्वमेध यज्ञार्थ वाजिपर्यटन और,1035,74,44
dudhadasa1900__01__line_1518443465001_239.png,dudhadasa1900__01,dudhadasa1900,line_1518443465001_239,दिग्विजय व लव कुश कृत वाजिबन्धन पश्चात् शत्रुध्न,1203,74,48
dudhadasa1900__01__r7l39.png,dudhadasa1900__01,dudhadasa1900,r7l39,भरत लक्ष्मणादि व लव कुशसे परस्पर युद्ध कथा अति,1084,72,46
dudhadasa1900__01__r7l41.png,dudhadasa1900__01,dudhadasa1900,r7l41,विचित्र दोहा चौपाई आदि छंदोंमें वर्णितहै,920,73,40
dudhadasa1900__01__line_1518443451514_238.png,dudhadasa1900__01,dudhadasa1900,line_1518443451514_238,जिसको,213,101,5
