line_path,original_text,corrupted_text
diksita1895__00c__line_1518610818277_1.png,जीवनचरित्र,जथव६Iसुृ्ल
diksita1895__00c__r3l15.png,श्रीमान् भार्गवकुलकमलप्रकाशक मा-,शऔैी ान्kभारउ;वकुलफमOप6रकAशक मे-
diksita1895__00c__r3l20.png,"र्तण्ड मुंशी नवलकिशोर जी (सी,",४Kतण्७ मुंशीःनवल?िशUर ज)k-1१!
diksita1895__00c__r3l24.png,"आई, ई) का विमलचरित्र जन्ममे","३ई,ऊस).क! वआ?लुATत्ङ जnनमखण"
diksita1895__00c__r3l30.png,लेकर मरणपर्यन्त वर्णितहै ॥,"लेक, 7=ण॰रॉयठ्ञ वज्ूिT॥स ॥"
diksita1895__00c__r3l34.png,जिसको,जिसकK
diksita1895__00c__line_1518610839603_2.png,उन्नाम प्रदेशान्तर्गत मसवासी ग्राम,ँऩ्ाम घ्रRLशॉम्तS्गत ऊ॰तणसीcग्+?म
diksita1895__00c__line_1518610859368_3.png,निवासी पण्डित बन्दीदीन दीक्षित,(:ठासीःपण्ःित ब)्द!दीन द१िथँित
diksita1895__00c__r3l48.png,ने उत्तम ललित छन्दों में,ये४उतऽञम ललितखोन्द६ं;षेॉ
diksita1895__00c__r3l51.png,निर्मित किया ॥,न:२्मऔRHफियनकम
diksita1895__00c__r3l58.png,श्रीबाबू प्रयागनारायण की आज्ञानुसार,ृ्रीब९बऐङप्रयअगनारछयण इ झIेृॉानुसान
diksita1895__00c__r3l62.png,प्रथम बार,?्रथ: बा२
diksita1895__00c__line_1518610883333_4.png,लखनऊ,लखना
diksita1895__00c__r3l74.png,"मुंशी नवलकिशोर (सी, आई, ई) के छापेखानेमें छपा","Tुंशा 6ु-कपशफव (सी, आई, ॰(;खे िाऽेभानडम़ं'छपउ"
diksita1895__00c__r3l76.png,मई सन् १८९४ ई० ॥,Wई ४नच स6९PषL० ॥
diksita1895__01__line_1518611095647_6.png,श्री गणेशाय नमः,श्भ6 गऽर]८४kषमई
diksita1895__01__r3l5.png,श्रीमान् मुंशीनवलकिशोरजीको,श्रीमान्ॉमnंशीौवलहउश+रजचको
diksita1895__01__r3l6.png,जीवनचरित्र प्रारम्भ: ॥,जoवनचएित्ढवप[चारझ्भ: ॥
diksita1895__01__r3l7.png,षट्पदछंद ॥, ट्=णछं॥जे
diksita1895__01__r3l8.png,लंबोदर गजबदन कदन घन विघन पगा,"॰ंHठदऐ गn,+न कदw ॰नाविघ8 ३ग"""
